,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,b4163d96-7d85-451d-b3ae-262c9f9a5f04,1,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_0.1_0stage,BERT_small,0,SyntaxDataModule,False,-1.0,7,1.0,0.054995667189359665,89.0,True,BERT_small,64,0.01,0.1,0,,,,,
1,b4163d96-7d85-451d-b3ae-262c9f9a5f04,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_0.1_0stage,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.01,0.1,0,validate,1.3862602,0.846,12711907.0,12845056.0
2,b4163d96-7d85-451d-b3ae-262c9f9a5f04,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_0.1_0stage,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.01,0.1,0,validate,1.3862866,0.33,12711907.0,12845056.0
3,b4163d96-7d85-451d-b3ae-262c9f9a5f04,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_0.1_0stage,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.01,0.1,0,validate,1.3862967,0.232,12711907.0,12845056.0
4,b4163d96-7d85-451d-b3ae-262c9f9a5f04,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_0.1_0stage,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.01,0.1,0,validate,1.3862687,0.71,12711907.0,12845056.0
5,b4163d96-7d85-451d-b3ae-262c9f9a5f04,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_0.1_0stage,BERT_small,0,SyntaxDataModule,,,9,,,,,BERT_small,64,0.01,0.1,0,validate,1.3862514,0.9766667,12711907.0,12845056.0
6,b4163d96-7d85-451d-b3ae-262c9f9a5f04,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_0.1_0stage,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.01,0.1,0,validate,1.3862469,0.834,12711907.0,12845056.0
7,b4163d96-7d85-451d-b3ae-262c9f9a5f04,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_0.1_0stage,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.01,0.1,0,validate,1.3862838,0.328,12711907.0,12845056.0
8,b4163d96-7d85-451d-b3ae-262c9f9a5f04,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_0.1_0stage,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.01,0.1,0,validate,1.3862981,0.22,12711907.0,12845056.0
9,b4163d96-7d85-451d-b3ae-262c9f9a5f04,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_0.1_0stage,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.01,0.1,0,validate,1.3862587,0.7,12711907.0,12845056.0
