,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,1_task,2_val_acc,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,2_test_L0,2_test_acc,2_test_loss
0,1.0,1.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T104_0.0_1stage,CNN,1.0,CVRTDataModule,104,1.0,1.0,1.0,L0resnet50,64.0,0.01,0.0,['stage_4'],,,
1,1.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T104_0.0_1stage,CNN,1.0,CVRTDataModule,103,,,,L0resnet50,64.0,0.01,0.0,['stage_4'],19322396.0,0.2421875,
2,1.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T104_0.0_1stage,CNN,1.0,CVRTDataModule,103,,,,L0resnet50,64.0,0.01,0.0,['stage_4'],19322396.0,0.23710937798023224,
3,1.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T104_0.0_1stage,CNN,1.0,CVRTDataModule,103,,,,L0resnet50,64.0,0.01,0.0,['stage_4'],76259.0,0.74609375,0.5077248811721802
4,1.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T104_0.0_1stage,CNN,1.0,CVRTDataModule,104,,,,L0resnet50,64.0,0.01,0.0,['stage_4'],19322396.0,0.2421875,
5,1.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T104_0.0_1stage,CNN,1.0,CVRTDataModule,104,,,,L0resnet50,64.0,0.01,0.0,['stage_4'],19322396.0,0.23710937798023224,
6,1.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T104_0.0_1stage,CNN,1.0,CVRTDataModule,104,,,,L0resnet50,64.0,0.01,0.0,['stage_4'],76259.0,0.9990234375,0.07640333473682404
7,1.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T104_0.0_1stage,CNN,1.0,CVRTDataModule,105,,,,L0resnet50,64.0,0.01,0.0,['stage_4'],19322396.0,0.2421875,
8,1.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T104_0.0_1stage,CNN,1.0,CVRTDataModule,105,,,,L0resnet50,64.0,0.01,0.0,['stage_4'],19322396.0,0.23710937798023224,
9,1.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T104_0.0_1stage,CNN,1.0,CVRTDataModule,105,,,,L0resnet50,64.0,0.01,0.0,['stage_4'],76259.0,0.2802734375,2.056053876876831
