,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
10,6861f80c-d218-4ca6-98a1-321433f0e37d,0,1,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,0,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.0,0,test,1.3843032,0.7266667,12734749.0,12845056.0
11,6861f80c-d218-4ca6-98a1-321433f0e37d,0,1,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.0,0,test,0.7201638,0.608,110307.0,12845056.0
12,6861f80c-d218-4ca6-98a1-321433f0e37d,0,1,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,0,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.0,0,test,0.053975966,1.0,110307.0,12845056.0
13,6861f80c-d218-4ca6-98a1-321433f0e37d,0,1,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,0,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.0,0,test,2.3642266,0.334,110307.0,12845056.0
14,6861f80c-d218-4ca6-98a1-321433f0e37d,0,1,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,0,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.0,0,test,1.3862648,0.18333334,110307.0,12845056.0
15,6861f80c-d218-4ca6-98a1-321433f0e37d,0,1,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,0,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.0,0,test,0.054117013,1.0,110307.0,12845056.0
16,3ef8c206-80a7-4da4-8c22-6b0063290bf4,1,1,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,1,SyntaxDataModule,False,-1.0,1,1.0,0.05568407475948334,90.0,True,BERT_small,64,0.0001,0.0,0,,,,,
17,3ef8c206-80a7-4da4-8c22-6b0063290bf4,0,1,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,1,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.0,0,test,1.3853484,0.67,12743902.0,12845056.0
18,3ef8c206-80a7-4da4-8c22-6b0063290bf4,0,1,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,1,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.0,0,test,1.3843598,0.866,12743902.0,12845056.0
19,3ef8c206-80a7-4da4-8c22-6b0063290bf4,0,1,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,1,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.0,0,test,1.385179,0.535,12743902.0,12845056.0
20,3ef8c206-80a7-4da4-8c22-6b0063290bf4,0,1,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,1,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.0,0,test,1.3858604,0.52666664,12743902.0,12845056.0
21,3ef8c206-80a7-4da4-8c22-6b0063290bf4,0,1,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,1,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.0,0,test,1.3848953,0.81333333,12743902.0,12845056.0
22,3ef8c206-80a7-4da4-8c22-6b0063290bf4,0,1,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,1,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.0,0,test,1.3854454,0.611,12743902.0,12845056.0
23,3ef8c206-80a7-4da4-8c22-6b0063290bf4,0,1,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,1,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.0,0,test,1.3845881,0.796,12743902.0,12845056.0
24,3ef8c206-80a7-4da4-8c22-6b0063290bf4,0,1,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,1,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.0,0,test,1.3851728,0.558,12743902.0,12845056.0
25,3ef8c206-80a7-4da4-8c22-6b0063290bf4,0,1,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,1,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.0,0,test,1.3858289,0.52666664,12743902.0,12845056.0
26,3ef8c206-80a7-4da4-8c22-6b0063290bf4,0,1,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,1,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.0,0,test,1.3850745,0.73,12743902.0,12845056.0
27,3ef8c206-80a7-4da4-8c22-6b0063290bf4,0,1,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,1,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.0,0,test,0.720563,0.603,101154.0,12845056.0
28,3ef8c206-80a7-4da4-8c22-6b0063290bf4,0,1,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,1,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.0,0,test,0.054635637,1.0,101154.0,12845056.0
29,3ef8c206-80a7-4da4-8c22-6b0063290bf4,0,1,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,1,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.0,0,test,2.356958,0.325,101154.0,12845056.0
30,3ef8c206-80a7-4da4-8c22-6b0063290bf4,0,1,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,1,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.0,0,test,1.3862902,0.21,101154.0,12845056.0
31,3ef8c206-80a7-4da4-8c22-6b0063290bf4,0,1,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,1,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.0,0,test,0.054938998,1.0,101154.0,12845056.0
32,c85620e2-5778-4068-9264-32291d70a248,1,1,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,2,SyntaxDataModule,False,-1.0,1,1.0,0.05498960614204407,90.0,True,BERT_small,64,0.0001,0.0,0,,,,,
33,c85620e2-5778-4068-9264-32291d70a248,0,1,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,2,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.0,0,test,1.3849995,0.73,12733164.0,12845056.0
34,c85620e2-5778-4068-9264-32291d70a248,0,1,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,2,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.0,0,test,1.3834773,0.895,12733164.0,12845056.0
35,c85620e2-5778-4068-9264-32291d70a248,0,1,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,2,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.0,0,test,1.3849075,0.526,12733164.0,12845056.0
36,c85620e2-5778-4068-9264-32291d70a248,0,1,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,2,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.0,0,test,1.3857516,0.57666665,12733164.0,12845056.0
37,c85620e2-5778-4068-9264-32291d70a248,0,1,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,2,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.0,0,test,1.3843927,0.8433333,12733164.0,12845056.0
38,c85620e2-5778-4068-9264-32291d70a248,0,1,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,2,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.0,0,test,1.384843,0.7,12733164.0,12845056.0
39,c85620e2-5778-4068-9264-32291d70a248,0,1,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,2,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.0,0,test,1.3830904,0.87,12733164.0,12845056.0
40,c85620e2-5778-4068-9264-32291d70a248,0,1,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,2,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.0,0,test,1.3847231,0.529,12733164.0,12845056.0
41,c85620e2-5778-4068-9264-32291d70a248,0,1,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,2,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.0,0,test,1.3856835,0.53,12733164.0,12845056.0
42,c85620e2-5778-4068-9264-32291d70a248,0,1,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,2,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.0,0,test,1.3841553,0.8233333,12733164.0,12845056.0
43,c85620e2-5778-4068-9264-32291d70a248,0,1,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,2,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.0,0,test,0.72013277,0.59,111892.0,12845056.0
44,c85620e2-5778-4068-9264-32291d70a248,0,1,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,2,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.0,0,test,0.05386628,1.0,111892.0,12845056.0
45,c85620e2-5778-4068-9264-32291d70a248,0,1,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,2,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.0,0,test,2.3652983,0.326,111892.0,12845056.0
46,c85620e2-5778-4068-9264-32291d70a248,0,1,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,2,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.0,0,test,1.3863152,0.15,111892.0,12845056.0
47,c85620e2-5778-4068-9264-32291d70a248,0,1,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Random_Training/5be6b7e9-4f78-4dc9-b5a0-49982760e5ce_T1,BERT_small,2,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.0,0,test,0.053944893,1.0,111892.0,12845056.0
